target,pipeline_id,pipeline_status,metric,stratum,numerator,denominator,percent,metric_status
inspect_evals,aime_last_line_numeric,insufficient_power,accidental_correct_pct,synthetic,20,100,20.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,answer_is_numeric_pct,synthetic,40,40,100.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,control_pass_pct,control,15,28,53.571429,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_returned_after_truncation_pct,real,2,131,1.526718,ok
simple-evals,mgsm_answer_prefix,control_disqualified,crash_pct,real,0,131,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,swallowed_error_pct,real,,,,not_measured
simple-evals,mgsm_answer_prefix,control_disqualified,accidental_correct_pct,real,0,131,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_is_numeric_pct,real,2,2,100.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_returned_after_truncation_pct,real_pre_answer,2,26,7.692308,ok
simple-evals,mgsm_answer_prefix,control_disqualified,crash_pct,real_pre_answer,0,26,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,swallowed_error_pct,real_pre_answer,,,,not_measured
simple-evals,mgsm_answer_prefix,control_disqualified,accidental_correct_pct,real_pre_answer,0,26,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_is_numeric_pct,real_pre_answer,2,2,100.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_returned_after_truncation_pct,real_no_pre_answer,0,105,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,crash_pct,real_no_pre_answer,0,105,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,swallowed_error_pct,real_no_pre_answer,,,,not_measured
simple-evals,mgsm_answer_prefix,control_disqualified,accidental_correct_pct,real_no_pre_answer,0,105,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_is_numeric_pct,real_no_pre_answer,0,0,,not_applicable
simple-evals,mgsm_answer_prefix,control_disqualified,answer_returned_after_truncation_pct,synthetic,0,100,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,crash_pct,synthetic,0,100,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,swallowed_error_pct,synthetic,,,,not_measured
simple-evals,mgsm_answer_prefix,control_disqualified,accidental_correct_pct,synthetic,0,100,0.000000,ok
simple-evals,mgsm_answer_prefix,control_disqualified,answer_is_numeric_pct,synthetic,0,0,,not_applicable
simple-evals,mgsm_answer_prefix,control_disqualified,control_pass_pct,control,1,28,3.571429,ok
lighteval,math_extractive_match,ok,answer_returned_after_truncation_pct,real,111,131,84.732824,ok
lighteval,math_extractive_match,ok,crash_pct,real,0,131,0.000000,ok
lighteval,math_extractive_match,ok,swallowed_error_pct,real,,,,not_measured
lighteval,math_extractive_match,ok,accidental_correct_pct,real,2,131,1.526718,ok
lighteval,math_extractive_match,ok,answer_is_numeric_pct,real,109,111,98.198198,ok
lighteval,math_extractive_match,ok,answer_returned_after_truncation_pct,real_pre_answer,26,26,100.000000,ok
lighteval,math_extractive_match,ok,crash_pct,real_pre_answer,0,26,0.000000,ok
lighteval,math_extractive_match,ok,swallowed_error_pct,real_pre_answer,,,,not_measured
lighteval,math_extractive_match,ok,accidental_correct_pct,real_pre_answer,1,26,3.846154,ok
lighteval,math_extractive_match,ok,answer_is_numeric_pct,real_pre_answer,24,26,92.307692,ok
lighteval,math_extractive_match,ok,answer_returned_after_truncation_pct,real_no_pre_answer,85,105,80.952381,ok
lighteval,math_extractive_match,ok,crash_pct,real_no_pre_answer,0,105,0.000000,ok
lighteval,math_extractive_match,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
lighteval,math_extractive_match,ok,accidental_correct_pct,real_no_pre_answer,1,105,0.952381,ok
lighteval,math_extractive_match,ok,answer_is_numeric_pct,real_no_pre_answer,85,85,100.000000,ok
lighteval,math_extractive_match,ok,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
lighteval,math_extractive_match,ok,crash_pct,synthetic,0,100,0.000000,ok
lighteval,math_extractive_match,ok,swallowed_error_pct,synthetic,,,,not_measured
lighteval,math_extractive_match,ok,accidental_correct_pct,synthetic,40,100,40.000000,ok
lighteval,math_extractive_match,ok,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
lighteval,math_extractive_match,ok,control_pass_pct,control,28,28,100.000000,ok
livebench,aime_last50,ok,answer_returned_after_truncation_pct,real,,,,not_measured
livebench,aime_last50,ok,crash_pct,real,0,48,0.000000,ok
livebench,aime_last50,ok,swallowed_error_pct,real,,,,not_measured
livebench,aime_last50,ok,accidental_correct_pct,real,0,48,0.000000,ok
livebench,aime_last50,ok,answer_is_numeric_pct,real,,,,not_measured
livebench,aime_last50,ok,answer_returned_after_truncation_pct,real_pre_answer,,,,not_measured
livebench,aime_last50,ok,crash_pct,real_pre_answer,0,6,0.000000,ok
livebench,aime_last50,ok,swallowed_error_pct,real_pre_answer,,,,not_measured
livebench,aime_last50,ok,accidental_correct_pct,real_pre_answer,0,6,0.000000,ok
livebench,aime_last50,ok,answer_is_numeric_pct,real_pre_answer,,,,not_measured
livebench,aime_last50,ok,answer_returned_after_truncation_pct,real_no_pre_answer,,,,not_measured
livebench,aime_last50,ok,crash_pct,real_no_pre_answer,0,42,0.000000,ok
livebench,aime_last50,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
livebench,aime_last50,ok,accidental_correct_pct,real_no_pre_answer,0,42,0.000000,ok
livebench,aime_last50,ok,answer_is_numeric_pct,real_no_pre_answer,,,,not_measured
livebench,aime_last50,ok,answer_returned_after_truncation_pct,synthetic,,,,not_measured
livebench,aime_last50,ok,crash_pct,synthetic,0,100,0.000000,ok
livebench,aime_last50,ok,swallowed_error_pct,synthetic,,,,not_measured
livebench,aime_last50,ok,accidental_correct_pct,synthetic,40,100,40.000000,ok
livebench,aime_last50,ok,answer_is_numeric_pct,synthetic,,,,not_measured
livebench,aime_last50,ok,control_pass_pct,control,28,28,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_returned_after_truncation_pct,real,35,48,72.916667,ok
livebench,olympiad_expression,wrong_task_dispatch,crash_pct,real,0,48,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,swallowed_error_pct,real,1,48,2.083333,ok
livebench,olympiad_expression,wrong_task_dispatch,accidental_correct_pct,real,1,48,2.083333,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_is_numeric_pct,real,35,35,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_returned_after_truncation_pct,real_pre_answer,6,6,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,crash_pct,real_pre_answer,0,6,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,swallowed_error_pct,real_pre_answer,0,6,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,accidental_correct_pct,real_pre_answer,1,6,16.666667,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_is_numeric_pct,real_pre_answer,6,6,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_returned_after_truncation_pct,real_no_pre_answer,29,42,69.047619,ok
livebench,olympiad_expression,wrong_task_dispatch,crash_pct,real_no_pre_answer,0,42,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,swallowed_error_pct,real_no_pre_answer,1,42,2.380952,ok
livebench,olympiad_expression,wrong_task_dispatch,accidental_correct_pct,real_no_pre_answer,0,42,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_is_numeric_pct,real_no_pre_answer,29,29,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,crash_pct,synthetic,0,100,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,swallowed_error_pct,synthetic,0,100,0.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,accidental_correct_pct,synthetic,20,100,20.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
livebench,olympiad_expression,wrong_task_dispatch,control_pass_pct,control,28,28,100.000000,ok
math-verify,default_parse_verify,generic_utility_only,answer_returned_after_truncation_pct,real,111,131,84.732824,ok
math-verify,default_parse_verify,generic_utility_only,crash_pct,real,0,131,0.000000,ok
math-verify,default_parse_verify,generic_utility_only,swallowed_error_pct,real,,,,not_measured
math-verify,default_parse_verify,generic_utility_only,accidental_correct_pct,real,3,131,2.290076,ok
math-verify,default_parse_verify,generic_utility_only,answer_is_numeric_pct,real,109,111,98.198198,ok
math-verify,default_parse_verify,generic_utility_only,answer_returned_after_truncation_pct,real_pre_answer,26,26,100.000000,ok
math-verify,default_parse_verify,generic_utility_only,crash_pct,real_pre_answer,0,26,0.000000,ok
math-verify,default_parse_verify,generic_utility_only,swallowed_error_pct,real_pre_answer,,,,not_measured
math-verify,default_parse_verify,generic_utility_only,accidental_correct_pct,real_pre_answer,3,26,11.538462,ok
math-verify,default_parse_verify,generic_utility_only,answer_is_numeric_pct,real_pre_answer,24,26,92.307692,ok
math-verify,default_parse_verify,generic_utility_only,answer_returned_after_truncation_pct,real_no_pre_answer,85,105,80.952381,ok
math-verify,default_parse_verify,generic_utility_only,crash_pct,real_no_pre_answer,0,105,0.000000,ok
math-verify,default_parse_verify,generic_utility_only,swallowed_error_pct,real_no_pre_answer,,,,not_measured
math-verify,default_parse_verify,generic_utility_only,accidental_correct_pct,real_no_pre_answer,0,105,0.000000,ok
math-verify,default_parse_verify,generic_utility_only,answer_is_numeric_pct,real_no_pre_answer,85,85,100.000000,ok
math-verify,default_parse_verify,generic_utility_only,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
math-verify,default_parse_verify,generic_utility_only,crash_pct,synthetic,0,100,0.000000,ok
math-verify,default_parse_verify,generic_utility_only,swallowed_error_pct,synthetic,,,,not_measured
math-verify,default_parse_verify,generic_utility_only,accidental_correct_pct,synthetic,40,100,40.000000,ok
math-verify,default_parse_verify,generic_utility_only,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
math-verify,default_parse_verify,generic_utility_only,control_pass_pct,control,28,28,100.000000,ok
matharena,competition_extract_and_grade,ok,answer_returned_after_truncation_pct,real,111,131,84.732824,ok
matharena,competition_extract_and_grade,ok,crash_pct,real,0,131,0.000000,ok
matharena,competition_extract_and_grade,ok,swallowed_error_pct,real,,,,not_measured
matharena,competition_extract_and_grade,ok,accidental_correct_pct,real,3,131,2.290076,ok
matharena,competition_extract_and_grade,ok,answer_is_numeric_pct,real,110,111,99.099099,ok
matharena,competition_extract_and_grade,ok,answer_returned_after_truncation_pct,real_pre_answer,26,26,100.000000,ok
matharena,competition_extract_and_grade,ok,crash_pct,real_pre_answer,0,26,0.000000,ok
matharena,competition_extract_and_grade,ok,swallowed_error_pct,real_pre_answer,,,,not_measured
matharena,competition_extract_and_grade,ok,accidental_correct_pct,real_pre_answer,3,26,11.538462,ok
matharena,competition_extract_and_grade,ok,answer_is_numeric_pct,real_pre_answer,25,26,96.153846,ok
matharena,competition_extract_and_grade,ok,answer_returned_after_truncation_pct,real_no_pre_answer,85,105,80.952381,ok
matharena,competition_extract_and_grade,ok,crash_pct,real_no_pre_answer,0,105,0.000000,ok
matharena,competition_extract_and_grade,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
matharena,competition_extract_and_grade,ok,accidental_correct_pct,real_no_pre_answer,0,105,0.000000,ok
matharena,competition_extract_and_grade,ok,answer_is_numeric_pct,real_no_pre_answer,85,85,100.000000,ok
matharena,competition_extract_and_grade,ok,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
matharena,competition_extract_and_grade,ok,crash_pct,synthetic,0,100,0.000000,ok
matharena,competition_extract_and_grade,ok,swallowed_error_pct,synthetic,,,,not_measured
matharena,competition_extract_and_grade,ok,accidental_correct_pct,synthetic,40,100,40.000000,ok
matharena,competition_extract_and_grade,ok,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
matharena,competition_extract_and_grade,ok,control_pass_pct,control,28,28,100.000000,ok
